time_key,col,auc,n
201608,woe_credit_hist_mon,0.5165335775250098,6697
201609,woe_credit_hist_mon,0.5238586658600399,5029
201610,woe_credit_hist_mon,0.5259356058365658,5582
201611,woe_credit_hist_mon,0.530022263263086,5713
201612,woe_credit_hist_mon,0.5109402973462696,5890
201701,woe_credit_hist_mon,0.5210922944504529,4876
201702,woe_credit_hist_mon,0.5320831921603377,4060
201703,woe_credit_hist_mon,0.5196617490696437,4988
201704,woe_credit_hist_mon,0.5437099074717477,3881
201705,woe_credit_hist_mon,0.5248952711163206,4871
201706,woe_credit_hist_mon,0.544465848822401,4553
201707,woe_credit_hist_mon,0.5324402577277547,4366
201708,woe_credit_hist_mon,0.5374960939682591,4610
201709,woe_credit_hist_mon,0.543298656842418,3963
201710,woe_credit_hist_mon,0.5140783991501088,3576
201711,woe_credit_hist_mon,0.5123177080094468,3636
201712,woe_credit_hist_mon,0.5471762718840704,2909
201801,woe_credit_hist_mon,0.5253979822310266,2629
201802,woe_credit_hist_mon,0.5005852142220972,2057
201803,woe_credit_hist_mon,0.5070563573682365,2118
201804,woe_credit_hist_mon,0.5801853568118629,2050
201805,woe_credit_hist_mon,0.5569622352908308,1979
201806,woe_credit_hist_mon,0.5673675862141572,1456
201807,woe_credit_hist_mon,0.5238181712908133,1282
201808,woe_credit_hist_mon,0.5546936873980899,1044
201809,woe_credit_hist_mon,0.5313589784859702,711
201810,woe_credit_hist_mon,0.5436228973135827,597
201811,woe_credit_hist_mon,0.3271082922245713,482
201812,woe_credit_hist_mon,0.16723646723646723,356
201601,woe_dti,0.5908563940181789,8316
201602,woe_dti,0.5852558719765615,10254
201603,woe_dti,0.5816553280438242,14575
201604,woe_dti,0.581274298445521,7093
201605,woe_dti,0.5669782964898967,5261
201606,woe_dti,0.5815197927510901,6098
201607,woe_dti,0.569229171943646,6453
201608,woe_dti,0.563750517503912,6697
201609,woe_dti,0.5715308772445,5029
201610,woe_dti,0.5747037523985435,5582
201611,woe_dti,0.5671806613201102,5713
201612,woe_dti,0.5674064282617551,5890
201701,woe_dti,0.5844798209388595,4876
201702,woe_dti,0.5542792358414345,4060
201703,woe_dti,0.5709548334219386,4988
201704,woe_dti,0.5790321105950335,3881
201705,woe_dti,0.5811664825912641,4871
201706,woe_dti,0.5862222526719649,4553
201707,woe_dti,0.5701994354275979,4366
201708,woe_dti,0.5618516245987911,4610
201709,woe_dti,0.5768089497506577,3963
201710,woe_dti,0.5738114801719701,3576
201711,woe_dti,0.5516219317434852,3636
201712,woe_dti,0.5389726285012738,2909
201801,woe_dti,0.5306224956102832,2629
